"judul","kategori","label"
"Revisi undang-undang ketenagakerjaan disahkan DPR","Politik","Positif"
"Aplikasi fitness personal membantu masyarakat hidup sehat","Kesehatan","Positif"
"Krisis air bersih mengancam wilayah perkotaan","Lingkungan","Negatif"
"Kendaraan listrik mulai populer di kalangan menengah","Teknologi","Positif"
"Platform crowdfunding dukung pengusaha kreatif","Bisnis","Positif"
"Penemuan arkeologi baru ungkap peradaban kuno","Sejarah","Positif"
"Teknologi VR digunakan untuk pelatihan medis","Teknologi","Positif"
"Pandemi mempercepat transformasi digital bisnis","Bisnis","Positif"
"Komunitas literasi dorong minat baca anak-anak","Pendidikan","Positif"
"Kebakaran hutan meluas di Kalimantan","Lingkungan","Negatif"
"Startup logistik dapat pendanaan ratusan juta dolar","Bisnis","Positif"
"Pengobatan tradisional dapat pengakuan dunia medis","Kesehatan","Positif"
"Investasi di proyek infrastruktur maritim meningkat","Infrastruktur","Positif"
"Konser amal kumpulkan dana untuk pendidikan","Sosial","Positif"
"Regulasi ketat pengelolaan sampah elektronik diterapkan","Lingkungan","Positif"
"Teknologi pengolahan limbah jadi energi dikembangkan","Energi","Positif"
"Kasus penipuan online meningkat selama pandemi","Teknologi","Negatif"
"Vaksin baru untuk penyakit tropis sedang diuji","Kesehatan","Positif"
"Pembangunan smart city dapat dukungan investor asing","Infrastruktur","Positif"
"Film dokumenter lingkungan dapat apresiasi global","Lingkungan","Positif"
"Sistem peringatan dini bencana diperkuat","Infrastruktur","Positif"
"Aplikasi belajar bahasa asing diminati pelajar","Pendidikan","Positif"
"Krisis perumahan terjangkau di perkotaan besar","Sosial","Negatif"
"Inovasi baterai kendaraan listrik pecahkan rekor","Teknologi","Positif"
"Kompetisi startup teknologi menarik minat investor","Bisnis","Positif"
"Terumbu karang buatan pulihkan ekosistem laut","Lingkungan","Positif"
"Serangan ransomware ganggu layanan publik","Teknologi","Negatif"
"Penelitian stem cell buka harapan pengobatan baru","Kesehatan","Positif"
"Panel surya transparan ubah jendela jadi pembangkit","Energi","Positif"
"Musisi independen manfaatkan platform digital","Hiburan","Positif"
"Reformasi sistem perpajakan dorong investasi","Ekonomi","Positif"
"Teknologi deteksi dini gempa bumi dikembangkan","Teknologi","Positif"
"Program beasiswa diperluas untuk daerah tertinggal","Pendidikan","Positif"
"Kota-kota besar hadapi masalah polusi udara","Lingkungan","Negatif"
"Robotika membantu operasi medis kompleks","Kesehatan","Positif"
"Krisis iklim pengaruhi migrasi penduduk global","Lingkungan","Negatif"
"Aplikasi investasi mikro populer di kalangan muda","Bisnis","Positif"
"Penemuan spesies baru di hutan hujan tropis","Lingkungan","Positif"
"Digitalisasi arsip sejarah lindungi warisan budaya","Sejarah","Positif"
"Konferensi internasional bahas masa depan energi","Energi","Positif"
"Teknologi penyulingan air bersih untuk daerah kering","Teknologi","Positif"
"Bisnis kuliner delivery tumbuh pesat","Bisnis","Positif"
"Penguatan cybersecurity jadi prioritas perusahaan","Teknologi","Positif"
"Terapi digital untuk kesehatan mental dikembangkan","Kesehatan","Positif"
"Kendaraan otonom mulai diuji di jalan umum","Teknologi","Positif"
"Program penghijauan perkotaan dapat apresiasi","Lingkungan","Positif"
"Kebocoran data pribadi konsumen jadi sorotan","Teknologi","Negatif"
"Alat diagnostik portabel bantu daerah terpencil","Kesehatan","Positif"
"Energi angin lepas pantai mulai dikembangkan","Energi","Positif"
"Platform kolaborasi seniman dapat pendanaan","Hiburan","Positif"
"Modernisasi sistem transportasi umum dipercepat","Infrastruktur","Positif"
"Penipuan investasi bodong merugikan masyarakat","Bisnis","Negatif"
"Inovasi kemasan ramah lingkungan dari bahan alami","Lingkungan","Positif"
"E-sports diakui sebagai cabang olahraga resmi","Olahraga","Positif"
"Teknologi pertanian presisi tingkatkan hasil panen","Pertanian","Positif"
"Program pelatihan vokasi dukung tenaga kerja","Pendidikan","Positif"
